"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 21 23:14:09 MSK 2026","Wed Jan 21 23:14:09 MSK 2026","255","tests","test_user_create","TestCreateUser","","","Нельзя создать пользователя без обязательного поля email, password, name",""
"passed","Wed Jan 21 23:14:12 MSK 2026","Wed Jan 21 23:14:12 MSK 2026","268","tests","test_user_login","TestLoginUser","","","Вход с неверным логином (email)",""
"passed","Wed Jan 21 23:13:56 MSK 2026","Wed Jan 21 23:14:00 MSK 2026","3795","tests","test_create_order","TestOrderCreation","","","Создание заказа с авторизацией и с валидными ингредиентами",""
"passed","Wed Jan 21 23:14:01 MSK 2026","Wed Jan 21 23:14:02 MSK 2026","638","tests","test_create_order","TestOrderCreation","","","Создание заказа без ингредиентов",""
"passed","Wed Jan 21 23:14:10 MSK 2026","Wed Jan 21 23:14:10 MSK 2026","328","tests","test_user_login","TestLoginUser","","","Успешный вход под существующим пользователем",""
"passed","Wed Jan 21 23:14:09 MSK 2026","Wed Jan 21 23:14:10 MSK 2026","263","tests","test_user_create","TestCreateUser","","","Нельзя создать пользователя без обязательного поля email, password, name",""
"passed","Wed Jan 21 23:14:03 MSK 2026","Wed Jan 21 23:14:04 MSK 2026","590","tests","test_create_order","TestOrderCreation","","","Создание заказа с неверным хешем ингредиентов",""
"passed","Wed Jan 21 23:14:07 MSK 2026","Wed Jan 21 23:14:08 MSK 2026","256","tests","test_user_create","TestCreateUser","","","Нельзя создать пользователя, который уже зарегистрирован",""
"passed","Wed Jan 21 23:14:05 MSK 2026","Wed Jan 21 23:14:06 MSK 2026","331","tests","test_user_create","TestCreateUser","","","Успешное создание нового пользователя",""
"passed","Wed Jan 21 23:14:05 MSK 2026","Wed Jan 21 23:14:05 MSK 2026","262","tests","test_create_order","TestOrderCreation","","","Создание заказа без авторизации",""
"passed","Wed Jan 21 23:14:09 MSK 2026","Wed Jan 21 23:14:09 MSK 2026","261","tests","test_user_create","TestCreateUser","","","Нельзя создать пользователя без обязательного поля email, password, name",""
"passed","Wed Jan 21 23:14:14 MSK 2026","Wed Jan 21 23:14:14 MSK 2026","331","tests","test_user_login","TestLoginUser","","","Вход с неверным паролем",""
